,제목,tag,story_tag
1232,안녕 자두야 4기 : 자두와 친구들,귀여움,"가족, 감동, 아동, 일상, 개그, 시대물"
1233,썬더 일레븐 4기,nan,"우정, 배틀, 감동, 판타지, 스포츠"
1234,포켓몬스터 XY MEGA EVOLUTION -최강 메가진화- Act4,nan,"우정, 성장, 배틀, 판타지, 액션, 아동"
1235,(더빙) 꼬마마법사 레미 샵,"마법소녀, 발랄가볍","성장, 마법, 감동, 판타지, 아동, 일상, 학교, 마을"
1236,(자막) 드래곤 퀘스트 : 다이의 대모험 part 4,전사,"마법, 판타지, 액션"
1237,메탈 베이블레이드 폭 (2기),nan,"배틀, 경쟁, 대회, 게임, 판타지, 액션, 아동, 스포츠, 경기장"
1238,신 도라에몽 3기,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1239,빼꼼 1기,nan,nan
1240,(더빙) 소닉 X,nan,"액션, 아동, SF, 상상의 장소"
1241,핑구 시즌 4,동물,"감동, 아동, 일상, 개그, 상상의 장소"
1242,네가 있는 마을,"미소녀, 발랄가볍, 교복, 귀여움","짝사랑, 감동, 로맨스, 마을"
1243,아인 OAD,"이능력, 먼치킨","생존, 무거움, 판타지, 액션, SF, 미스터리, 범죄, 스릴러"
1244,신 도라에몽 5기,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1245,포켓몬스터 XY MEGA EVOLUTION -최강 메가진화- Act2,nan,"우정, 성장, 배틀, 판타지, 액션, 아동"
1246,추억은 방울방울,귀여움,"가족, 감동, 무거움, 몽환, 판타지, 일상, 로맨스, 치유, 농촌"
1247,신 테니스의 왕자 : BEST GAMES!! VOL.3,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
1248,기동전사 건담 썬더볼트 : 밴디트 플라워,로봇,"배틀, 정치, 무거움, 철학, 액션, SF"
1249,바티칸 기적 조사관,nan,"퇴마, 무거움, 추리, 미스터리"
1250,(자막) 꼬마마법사 레미 : 견습 마법사를 찾아서,"마법소녀, 발랄가볍","성장, 마법, 감동, 판타지, 아동, 일상, 학교, 마을"
1251,(더빙) 해피니스 프리큐어!,"마법소녀, 발랄가볍","우정, 마법, 감동, 판타지, 액션, 아동"
1252,(더빙) 유희왕 VRAINS,먼치킨,"우정, 성장, 배틀, 경쟁, 대회, 게임, 판타지, 액션, 경기장"
1253,"안녕, 나의 크라머",nan,"우정, 감동, 일상, 스포츠, 학교"
