,제목,tag,story_tag
1466,(더빙) 가면라이더 이그제이드 외전 : 브레이브 & 스나이프,히어로,"액션, SF"
1467,(자막) 원피스 27기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1468,극장판 트랜스포머 프라임 프레데콘 라이징,"외계인, 로봇, 전사","배틀, 전쟁, 무거움, 액션, 아동, SF, 상상의 장소"
1469,엉덩이 탐정 시즌 2,nan,"아동, 개그, 추리"
1470,빼꼼 2기,nan,nan
1471,멋진 이 세계 The Animation,이능력,"우정, 배틀, 게임, 판타지, 액션"
1472,마에세츠!,"미소녀, 연예인","일상, 개그, 마을, 공연장"
1473,(더빙) 극장판 원피스 7기 : 기계태엽성의 메카 거병,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1474,"진정한 동료가 아니라고 용사 파티에서 쫓겨났기 때문에, 변경에서 슬로우 라이프 하기로 했습니다",nan,"마법, 판타지, 일상, 로맨스, 상점"
1475,(자막) 우주 형제 0 - 판권 부활,nan,"성장, 가족, 감동, SF, 회사"
1476,(더빙)엄마 찾아 삼만리,nan,"가족, 감동, 슬픔, 시대물"
1477,(더빙) 요리왕 비룡 더 마스터 part 2,먼치킨,"배틀, 경쟁, 대회, 시대물, 음식, 경기장, 상점"
1478,블레이드 앤 소울 - 판권 부활,"이능력, 주체적 여성","배틀, 판타지, 액션, 무협"
1479,아리떼 공주,주체적 여성,"성장, 감동, 철학, 판타지, 시대물, 치유"
1480,에어로버 : 스페이스 드론의 귀환,발랄가볍,"경쟁, 대회, 액션, SF, 스포츠"
1481,빼꼼의 머그잔 여행,발랄가볍,"마법, 판타지, 아동, 개그"
1482,(자막) 고 녀석 맛나겠다,공룡,"성장, 가족, 감동, 아동, 로맨스"
1483,누들누드 2,nan,로맨스
1484,마이 리틀 포니 6,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1485,도라에몽 : 진구와 양철 인형,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1486,프리크리 얼터너티브,nan,"액션, 개그, 로맨스, 음악, 마을"
1487,(더빙) 원피스 로맨스 던,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1488,초전자 바이오맨,"히어로, 이능력, 로봇",액션
1489,(자막) 토리코 part 5,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
1490,너는 저편에,nan,"이세계, 판타지, 로맨스, 학교"
1491,(더빙) 가면라이더 이그제이드 외전 : 패러독스 with 뽀삐,히어로,"액션, SF"
1492,어떻게든 되는 나날,nan,"로맨스, 마을, 드라마"
1493,선물공룡 디보 - 한국어,"공룡, 발랄가볍","우정, 아동, 마을"
1494,마음의 소리 스페셜 2 : 이어서 하자,nan,"일상, 개그, 마을"
1495,던전 앤 파이터 : 숙명의 문,nan,"마법, 판타지, 액션"
1496,요괴소년 호야 2기,요괴 및 괴물,"우정, 동양풍, 퇴마, 판타지, 액션, 개그, 시대물, 사후세계"
1497,(자막) 원피스 로맨스 던,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1498,(더빙) 파워레인저 다이노VS루팡VS패트롤,"히어로, 로봇","액션, SF"
1499,보이는 여고생,귀신,"일상, 개그, 공포"
1500,러브슬레이트,nan,"하렘, 회사"
1501,SELECTION PROJECT,"미소녀, 아이돌","경쟁, 음악, 드라마"
1502,블랙 폭스,nan,"복수, 액션"
1503,안녕 자두야 스페셜 : 언더 더 씨,귀여움,"가족, 감동, 아동, 일상, 개그, 시대물"
1504,아이실드 21 part 3,nan,"성장, 경쟁, 대회, 액션, 개그, 스포츠, 학교, 경기장"
1505,마이 리틀 포니 8,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1506,비밀결사 매발톱단 시즌3 (NEO),발랄가볍,"일상, 개그"
1507,(무자막) 토끼네 집으로 오세요 시즌 3,nan,"우정, 가족, 감동, 아동, 일상, 마을, 집"
1508,(더빙) 극장판 원피스 3기 : 진기한 동물섬의 쵸파왕국,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1509,(더빙) 가면라이더 고스트 리:버스 가면라이더 스펙터,히어로,"액션, 아동, SF, 마을"
1510,누나의 유혹,nan,로맨스
1511,BAKUMATSU,nan,"동양풍, 시간여행, 판타지, 액션, 시대물"
1512,내 사랑 뚱 시즌 2,nan,"가족, 감동, 아동, 일상, 개그, 집"
1513,(무삭제) 미소의 대가,로봇,"감동, 액션, SF, 상상의 장소"
1514,마음의 소리 스페셜 3 : 붕어빵 부자,nan,"일상, 개그, 마을"
1515,아이실드 21 part 4,nan,"성장, 경쟁, 대회, 액션, 개그, 스포츠, 학교, 경기장"
1516,(더빙) 가면라이더 지오 Over Quartzer,히어로,"액션, SF"
1517,극장판 마법천자문: 대마왕의 부활을 막아라,마왕,"판타지, 아동"
1518,된다! 뭐든!,발랄가볍,"일상, 개그, 마을"
1519,(더빙) 파워레인저 갤럭시포스 VS 스페이스 스쿼드,"히어로, 로봇","액션, SF"
1520,던전 앤 파이터 : 역전의 바퀴,nan,"마법, 판타지, 액션"
1521,스쿨걸 스트라이커즈 Animation Channal,미소녀,"판타지, 액션, 학교"
1522,에그엔젤 코코밍 part 2,발랄가볍,"판타지, 아동, 일상, 개그, 집"
1523,마이 리틀 포니 2,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1524,(더빙) 드래곤 퀘스트 : 다이의 대모험 part 1,전사,"마법, 판타지, 액션"
1525,마이 리틀 포니 7,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1526,반딧불 언덕에서,nan,"성장, 마법, 시간여행, 감동, 몽환, 판타지"
1527,마이 리틀 포니 : 레인보우 락,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1528,런닝맨2 PART 1,발랄가볍,"경쟁, 액션, 아동, 상상의 장소, 경기장"
1529,건담 G의 레콘기스타 1: 가라! 코어 파이터,로봇,"배틀, 정치, 무거움, 철학, 액션, SF"
1530,아이실드 21 part 5,nan,"성장, 경쟁, 대회, 액션, 개그, 스포츠, 학교, 경기장"
1531,(더빙) 소피루비,"마법소녀, 발랄가볍","마법, 서양풍, 판타지, 아동, 마을"
1532,마이 리틀 포니 5,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1533,일루셔니스트,nan,"성장, 여행, 몽환, 슬픔, 드라마"
1534,세인트 세이야 - 세인티아 쇼,nan,"판타지, 액션, 로맨스, 학교, 상상의 장소"
1535,(더빙) 극장판 햄토리 하무드 왕국의 공주님을 구하라,"발랄가볍, 귀여움","여행, 감동, 아동, 일상, 마을"
1536,마징카이저 SKL,로봇,"액션, SF"
1537,이웃집 야마다군,발랄가볍,"가족, 감동, 아동, 일상, 개그, 치유"
1538,"색, 스토리",nan,로맨스
1539,마음의 소리 시즌 3,nan,"일상, 개그, 마을"
1540,흡혈귀는 툭하면 죽는다,"뱀파이어, 헌터","개그, 상상의 장소"
1541,에그엔젤 코코밍 시즌3,발랄가볍,"판타지, 아동, 일상, 개그, 집"
1542,(더빙) 울트라맨 루브,"히어로, 외계인","판타지, 액션, SF, 마을"
1543,버뮤다 트라이앵글 ~컬러풀 파스토랄레~,nan,nan
1544,파스텔 메모리즈,"오타쿠, 발랄가볍","감동, 판타지, 치유"
1545,하얀 모래의 아쿠아톱 part 2,"미소녀, 동물",드라마
1546,(자막) 베이블레이드 버스트,nan,"배틀, 경쟁, 대회, 게임, 판타지, 액션, 아동, 스포츠, 경기장"
1547,모여라! 고마짱 시즌 3,"동물, 발랄가볍","아동, 일상, 개그"
1548,BLUE REFLECTION RAY part 1,마법소녀,"성장, 감동, 판타지, 액션"
1549,런닝맨 스페셜: 게임의 시작,발랄가볍,"경쟁, 액션, 아동, 상상의 장소"
1550,마이 리틀 포니 4,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1551,마이 리틀 포니 3,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1552,시공전사 스필반,"히어로, 외계인","아동, 상상의 장소"
1553,(자막) 베이블레이드 버스트 진검,nan,"배틀, 경쟁, 대회, 게임, 판타지, 액션, 아동, 스포츠, 경기장"
1554,바바파파 시즌 1,nan,"감동, 아동, 일상, 개그, 치유"
1555,진화의 열매 ~모르는 사이 성공한 인생~,"미소녀, 이능력, 아싸","성장, 이세계, 판타지, 개그, 로맨스, 하렘"
1556,(자막) 베이블레이드 버스트 초제트,nan,"배틀, 경쟁, 대회, 게임, 판타지, 액션, 아동, 스포츠, 경기장"
1557,검은 요괴워치 - 쓰레기 인간을 찾아라 -,"요괴 및 괴물, 발랄가볍","우정, 성장, 판타지, 액션, 아동"
1558,원피스 스페셜! : 밀짚모자 루피 두목의 수사 기록,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1559,뽀로로 극장판 공룡섬 대모험,"발랄가볍, 귀여움","우정, 감동, 지식전달, 아동, 일상, 마을, 집, 섬, 자연"
1560,(더빙) 조이드 와일드 NEW 에피소드,로봇,"성장, 배틀, 판타지, 액션, 아동"
1561,(더빙) 터닝메카드W : 반다인의 비밀,"로봇, 발랄가볍, 자동차","성장, 배틀, 액션, 아동, 경기장"
1562,마술사 오펜 뜻밖의 여행 : 킴라크편,nan,"가족, 마법, 판타지, 액션, 미스터리, 상상의 장소"
1563,종각역 멸치주먹,nan,"일상, 개그"
1564,뽀로로 극장판 눈요정마을 대모험,"발랄가볍, 귀여움","우정, 감동, 지식전달, 아동, 일상, 마을, 집, 자연"
1565,용과 주근깨 공주,nan,"성장, 감동, 판타지, SF"
1566,웃는 세일즈맨 NEW,nan,"무거움, 철학, 판타지"
1567,스낵월드,nan,"감동, 판타지, 액션, 아동, 개그"
1568,마이 리틀 포니 : 프렌드쉽 게임,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1569,당신이 버린 개에 관한 이야기,동물,슬픔
1570,게게게의 키타로 : 키타로의 유령전철,"요괴 및 괴물, 이능력, 귀여움","배틀, 동양풍, 판타지, 액션, 아동, 개그, 시대물, 마을, 사후세계"
1571,빨강머리 앤 - 판권 부활,nan,nan
1572,개구쟁이 스머프 NEW,발랄가볍,"감동, 아동, 일상, 개그"
1573,이시다 히로야스 X 아라이 요지로 특별전,nan,"감동, 아동, 일상, 로맨스"
1574,신 북두의 권 OVA,열혈,"전쟁, 판타지, 액션, 시대물, 무협"
1575,(자막) 고수의 일상생활,nan,"판타지, 액션, 개그, 학교"
1576,프리크리 프로그레시브,nan,"액션, 개그, 로맨스, 음악, 마을"
1577,(더빙) 극장판 햄토리 햄토리와 신기한 도깨비 그림탑,"발랄가볍, 귀여움","여행, 감동, 아동, 일상, 마을"
1578,다이쇼 소녀 전래동화,nan,"로맨스, 시대물, 드라마"
1579,달과 라이카와 흡혈공주,요괴 및 괴물,"판타지, SF, 드라마"
1580,소년 할리우드,"발랄가볍, 아이돌","일상, 음악"
1581,마이 리틀 포니 : 에버프리의 전설,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1582,(자막) 토리코 part 6,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
1583,세스타스 -The Roman Fighter-,열혈,"액션, 스포츠, 시대물, 경기장"
1584,엄마 찾아 삼만리 - 극장판 마르코,귀여움,"가족, 감동, 아동, 시대물"
1585,안녕! 괴발개발 시즌 2,발랄가볍,"가족, 감동, 아동, 일상, 개그"
1586,(더빙) 어네스트와 셀레스틴 - 배리어프리,동물,"우정, 감동, 아동, 개그, 마을, 배리어프리, 드라마"
1587,(더빙) 파워레인저 갤럭시포스 게스 인더베이의 역습,"히어로, 로봇","액션, SF"
1588,(더빙) 루팡 3세 스페셜 : 이탈리안 게임,"탐정, 먼치킨","두뇌싸움, 비밀조직, 서양풍, 추리, 범죄"
1589,(더빙) 유희왕 ARC-V 3기,먼치킨,"우정, 성장, 배틀, 경쟁, 대회, 게임, 판타지, 액션, 경기장"
1590,애플시드,nan,"액션, SF"
1591,도라에몽 : 진구의 신공룡,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1592,신 도라에몽 스페셜 1기,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1593,백요보,요괴 및 괴물,"판타지, 개그"
1594,극장판 닷핵퀀텀 : 숨겨진 몬스터의 비밀 .hack//Quantum,nan,"우정, 성장, 게임, 액션, 마을"
1595,도라에몽 : 진구와 꿈의 삼총사,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1596,런닝맨 특별편,발랄가볍,"경쟁, 액션, 아동, 상상의 장소"
1597,바쿠간 배틀 바쿠기어,발랄가볍,"배틀, 액션, 아동, SF, 경기장"
1598,(더빙) 파워레인저 다이노소울 : 타임슬립! 위기의 공룡시대,"히어로, 로봇","액션, SF"
1599,오디션,"연예인, 교복","성장, 감동, 로맨스, 음악, 학교, 공연장, 회사"
1600,에스워치,nan,하렘
1601,(더빙) 열려라! 코코밍,발랄가볍,"판타지, 아동, 일상, 개그, 집"
1602,건담 G의 레콘기스타 2: 벨리 격진,로봇,"배틀, 정치, 무거움, 철학, 액션, SF"
1603,(더빙) 마이 리틀 포니 : 이퀘스트리아 걸스 스페셜,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1604,파파독 : 개 수상한 이웃 (하),nan,"아동, 일상, 개그"
1605,(더빙) 원피스 27기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1606,런닝맨: 풀룰루의 역습,발랄가볍,"경쟁, 액션, 아동, 상상의 장소"
1607,마스크 마스터즈,nan,"판타지, 액션, 아동, 상상의 장소"
1608,토마스와 친구들 시즌11,발랄가볍,"감동, 아동, 일상, 개그"
1609,BAKUMATSU 크라이시스,nan,"동양풍, 시간여행, 판타지, 액션, 시대물"
1610,쾌걸 조로리 : ZZ의 비밀,"히어로, 도둑, 발랄가볍","액션, 아동, 개그"
1611,플래티넘 엔드,"이능력, 악마 또는 천사","경쟁, 살인, 무거움, 철학, 판타지, 스릴러"
1612,"(더빙) 파워레인저 갤럭시포스 스팅거, 그날의 기억","히어로, 로봇","액션, SF"
1613,엉덩이 탐정 : 화려한 사건 수첩,nan,"아동, 개그, 추리"
1614,정글에서 살아남기,동물,"생존, 액션, 아동, 재난, 자연"
1615,(더빙) 소중한 날의 꿈 - 배리어프리,nan,"우정, 성장, 가족, 감동, 시대물, 마을, 배리어프리, 드라마"
1616,레이드배커스,발랄가볍,"판타지, 액션, 개그, 마을"
1617,비주얼 프리즌,미소년,"배틀, 음악"
1618,마이 리틀 포니 : 최고로 멋진 선물,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1619,"안녕, 나의 크라머 : 퍼스트 터치",nan,"우정, 감동, 일상, 스포츠, 학교"
1620,버스데이 원더랜드,발랄가볍,"가족, 감동, 판타지, 아동, 상상의 장소"
1621,발광하는 현대사,nan,로맨스
1622,케모노 프렌즈 2기,"미소녀, 동물","감동, 일상, 개그, 치유, 자연"
1623,그녀의 남자들,nan,로맨스
1624,(더빙) 트랜스포머 사이버버스,"외계인, 로봇, 전사","배틀, 전쟁, 무거움, 액션, 아동, SF, 상상의 장소"
1625,역전세계의 전지소녀,"미소녀, 열혈, 로봇, 오타쿠","전쟁, 액션, SF"
1626,파이트 리그 GGG,"열혈, 발랄가볍","우정, 배틀, 액션, 경기장"
1627,(자막) 원피스 20기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1628,세인트 세이야 극장판 신들의 뜨거운 싸움,nan,"판타지, 액션, 로맨스, 학교, 상상의 장소"
1629,세인트 세이야 극장판 사신 에리스,nan,"판타지, 액션, 로맨스, 학교, 상상의 장소"
1630,미스 모노크롬 뮤직 클립,아이돌,"성장, 감동, SF, 음악"
1631,유우키 유우나는 용사다 -대만개의 장-,"미소녀, 마법소녀, 싸우는 미소녀, 교복","마법, 무거움, 슬픔, 판타지, 액션, 재난, 학교"
1632,피스 메이커 철 : 우명,nan,"액션, 시대물"
1633,도라에몽 : 진구와 구름 왕국,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1634,앙골모아 원구전투기,nan,"전쟁, 무거움, 액션, 시대물"
1635,세인트 세이야 극장판 천계편 서곡 -overture-,nan,"판타지, 액션, 로맨스, 학교, 상상의 장소"
1636,안녕 자두야 명작동화 : 효녀자두 & 엄지공주,귀여움,"가족, 감동, 아동, 일상, 개그, 시대물"
1637,철인 28호: 백주의 잔월,로봇,"액션, SF"
1638,런닝맨2 PART 2,발랄가볍,"경쟁, 액션, 아동, 상상의 장소"
1639,마샤의 이야기 - 한국어,nan,"감동, 아동"
1640,안녕 자두야 스페셜 : 자두의 일기장,귀여움,"가족, 감동, 아동, 일상, 개그, 시대물"
1641,세인트 세이야 극장판 최후성전의 전사들,nan,"판타지, 액션, 로맨스, 학교, 상상의 장소"
1642,열차 변형 로봇 신카리온 THE ANIMATION : 미래에서 온 초고속 ALFA-X,"로봇, 발랄가볍","액션, 아동"
1643,정글에서 살아남기 2 : 마루의 어드벤처,nan,nan
1644,피스 메이커 철 : 상도,nan,"액션, 시대물"
1645,마인크래프트 이야기,발랄가볍,"게임, 아동, 일상, 자연"
1646,ARIA The AVVENIRE,발랄가볍,"우정, 서양풍, 감동, 철학, 일상, 치유"
1647,집,nan,"무거움, 집"
1648,(자막) 내 이름은 꾸제트,nan,"우정, 가족, 감동, 아동, 학교"
1649,토마스와 친구들 시즌3,발랄가볍,"감동, 아동, 일상, 개그"
1650,세인트 세이야 극장판 진홍의 소년전설,nan,"판타지, 액션, 로맨스, 학교, 상상의 장소"
1651,(더빙) 트랜스포머 사이버버스 2기,"외계인, 로봇, 전사","배틀, 전쟁, 무거움, 액션, 아동, SF, 상상의 장소"
1652,(더빙) 미피의 동물원 보물찾기,"동물, 발랄가볍","아동, 일상"
1653,ARIA The CREPUSCOLO,발랄가볍,"우정, 서양풍, 감동, 철학, 일상, 치유"
1654,돌격! 사랑의 레볼루션 Episode 01,"마법소녀, 발랄가볍","판타지, 개그"
1655,천녀유혹,nan,로맨스
1656,토마스와 친구들 시즌2,발랄가볍,"감동, 아동, 일상, 개그"
1657,토마스와 친구들 시즌8,발랄가볍,"감동, 아동, 일상, 개그"
1658,(더빙) 호빵맨 3기,"히어로, 귀여움","감동, 판타지, 아동, 치유, 마을"
1659,로터리파크,"요괴 및 괴물, 발랄가볍","판타지, 아동, 일상, 개그, 마을"
1660,창천의 권 REGENESIS,열혈,"전쟁, 판타지, 액션, 시대물, 무협"
1661,(더빙) 바비 드림하우스 어드벤처,발랄가볍,"우정, 아동, 일상, 개그, 마을, 집"
1662,추억의 검정고무신,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 시대물, 학교, 집"
1663,스푸키즈 시즌 3,귀신,"판타지, 아동, 학교"
1664,경계전기,로봇,"판타지, 액션, SF"
1665,토마스와 친구들 시즌12,발랄가볍,"감동, 아동, 일상, 개그"
1666,게키돌 OVA,아이돌,"연기, 감동, SF"
1667,불면증,nan,"몽환, 슬픔, 집"
1668,토마스와 친구들 시즌4,발랄가볍,"감동, 아동, 일상, 개그"
1669,"안녕, 티라노 : 영원히, 함께",공룡,"우정, 여행, 감동, 아동, 자연"
1670,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,발랄가볍,아동
1671,토마스와 친구들 시즌10,발랄가볍,"감동, 아동, 일상, 개그"
1672,스푸키즈 : 비밀과외,귀신,"판타지, 아동, 학교"
1673,(더빙) 리틀 뱀파이어,"뱀파이어, 발랄가볍","우정, 가족, 판타지, 아동, 개그"
1674,루팡 3세 part 6,"탐정, 먼치킨","두뇌싸움, 비밀조직, 서양풍, 추리, 범죄"
1675,BLUE REFLECTION RAY part 2,마법소녀,"성장, 감동, 판타지, 액션"
1676,검정고무신 3기,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 시대물, 학교, 집"
1677,정글에서 살아남기 3기 : 화산섬의 비밀,발랄가볍,"생존, 지식전달, 액션, 아동, 개그"
1678,숲의 요정 페어리루 ~마법의 펜듈럼~ 고민상담소,발랄가볍,"우정, 마법, 감동, 판타지, 아동, 개그"
1679,모여라! 고마짱 시즌 2,"동물, 발랄가볍","아동, 일상, 개그"
1680,신밧드 2: 마법의 램프와 움직이는 섬,발랄가볍,"마법, 판타지, 아동, 시대물"
1681,(자막) 리틀 뱀파이어,"뱀파이어, 발랄가볍","우정, 가족, 판타지, 아동, 개그"
1682,프란체스카 OVA,"요괴 및 괴물, 발랄가볍","아동, 개그, 공포, 집"
1683,토마스와 친구들 시즌5,발랄가볍,"감동, 아동, 일상, 개그"
1684,극장판 마야,발랄가볍,"감동, 아동, 개그"
1685,유단하 영상툰,발랄가볍,"일상, 개그, 드라마"
1686,창천의 권 REGENESIS 2기,열혈,"전쟁, 판타지, 액션, 시대물, 무협"
1687,신밧드 1: 하늘을 나는 공주와 비밀의 섬,발랄가볍,"마법, 판타지, 아동, 시대물"
1688,신밧드 더 무비,발랄가볍,"마법, 판타지, 아동, 시대물"
1689,모여라! 고마짱 시즌 4,"동물, 발랄가볍","아동, 일상, 개그"
1690,시키자쿠라,히어로,"배틀, 액션, 마을"
1691,(더빙) 터닝메카드W 시즌 1,"로봇, 발랄가볍, 자동차","배틀, 액션, 아동, 경기장"
1692,(자막) 아오 오니 The Animation,"요괴 및 괴물, 귀신","스릴러, 공포, 학교"
1693,(더빙) 포텐독 시즌 1,로봇,"액션, 개그, SF"
1694,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,발랄가볍,아동
1695,트레인 히어로,"외계인, 로봇, 귀여움","액션, 아동"
1696,토마스와 친구들 시즌7,발랄가볍,"감동, 아동, 일상, 개그"
1697,(더빙) 이퀘스트리아 걸스 : 롤러코스터 같은 우정,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1698,(더빙) 원피스 20기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1699,붓다 : 위대한 여정 - 판권 부활,선생님,"성장, 감동, 무거움, 철학, 시대물"
1700,프라오레! PRIDE OF ORANGE,미소녀,"우정, 성장, 일상, 스포츠, 학교, 드라마"
1701,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,발랄가볍,아동
1702,출동 케이캅,"히어로, 외계인, 경찰","판타지, 액션, 아동, 개그"
1703,메타제트,nan,"비밀조직, 액션, 아동, SF"
1704,바바파파 시즌 2,nan,"감동, 아동, 일상, 개그, 치유"
1705,(자막) 겨울왕국의 무민,"발랄가볍, 귀여움","가족, 판타지, 아동, 일상, 상상의 장소"
1706,빌디바이드 CODE : BLACK,nan,"성장, 대회, 게임, 판타지, 액션"
1707,(더빙) 날아라! 호빵맨 : 장난감 별의 난다와 룬다,"히어로, 귀여움","감동, 판타지, 아동, 치유, 마을"
1708,(더빙) 눈의 여왕 4,nan,"감동, 몽환, 판타지, 아동, 시대물, 마을"
1709,Misery,nan,"미스터리, 스릴러"
1710,(더빙) 날아라! 호빵맨 : 빛나라! 크룽과 생명의 별,"히어로, 귀여움","감동, 판타지, 아동, 치유, 마을"
1711,풍뎅이뎅이,발랄가볍,"감동, 슬픔, 아동, 일상, 개그, 로맨스, 치유, 마을, 집, 자연"
1712,DD북두의 권 2 딸기맛+,열혈,"전쟁, 판타지, 액션, 일상, 개그, 시대물, 무협"
1713,마음의 소리 스페셜 4 : 스펙타클 임팩트맨,nan,"일상, 개그, 마을"
1714,(더빙) 스파이즈,발랄가볍,"판타지, 액션, 아동"
1715,북두의 권 DD,열혈,"전쟁, 판타지, 액션, 시대물, 무협"
1716,도라에몽 : 진구의 도라비안 나이트,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1717,인피니티 포스 스페셜 에디션 1: ISOLATED FLOWER,히어로,액션
1718,블레이징 틴스 5 레전드전사 1기,발랄가볍,"감동, 아동, 스포츠"
1719,토마스와 친구들 시즌9,발랄가볍,"감동, 아동, 일상, 개그"
1720,(더빙) 이퀘스트리아 걸스 : 명절 이야기 모음,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1721,하카타 멘타이 피리카라코짱,발랄가볍,"일상, 음식, 마을"
1722,당신의 영원,nan,"몽환, 판타지"
1723,(더빙) 이퀘스트리아 걸스 : 엉망진창 봄방학,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1724,(더빙) 우주 형제 0 - 판권 부활,nan,"성장, 가족, 감동, SF, 회사"
1725,블레이징 틴스 5 레전드전사 2기,발랄가볍,"감동, 아동, 스포츠"
1726,(더빙) 이퀘스트리아 걸스 : 레인보우 로드 트립,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1727,디보와 노래해요 - 한국어,"공룡, 발랄가볍","우정, 아동, 마을"
1728,소울스캔들,nan,nan
1729,신밧드 3: 한낮의 밤과 수수께끼의 섬,발랄가볍,"마법, 판타지, 아동, 시대물"
1730,검거미,동물,"가족, 일상, 개그, 자연"
1731,(더빙) 터닝메카드W 시즌 2,"로봇, 발랄가볍, 자동차","배틀, 액션, 아동, 경기장"
1732,(더빙) 호빵맨 : 꼬마 사과와 모두의 소원,"히어로, 귀여움","감동, 판타지, 아동, 치유, 마을"
1733,염라왕이 뿔났다,nan,"마법, 판타지, 개그, 학교"
1734,비키 & 조니,발랄가볍,"우정, 아동, 일상, 개그, 마을"
1735,맞춤희곡,nan,"연기, 감동, 몽환"
1736,의풍당당!! 카네츠구와 케이지,nan,"액션, 시대물, 무협"
1737,"안녕, 전우치! 스페셜",발랄가볍,"시간여행, 판타지, 액션, 아동, 시대물"
1738,초 소년탐정단 NEO,발랄가볍,"아동, 추리, 미스터리, 마을"
1739,(더빙) 인간계 생활기록,요괴 및 괴물,"일상, 개그, 집"
1740,바바파파 시즌 3,nan,"감동, 아동, 일상, 개그, 치유"
1741,파파독 스페셜 : 별별 친구들,nan,"아동, 일상, 개그"
1742,인피니티 포스 스페셜 에디션 3 : IN FLUX,nan,nan
1743,(자막) 이누야샤 2기,요괴 및 괴물,"경쟁, 판타지, 액션, 개그, 로맨스, 시대물"
1744,엉덩이 탐정 : 텐텐마을의 수수께끼,nan,"아동, 개그, 추리"
1745,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,발랄가볍,아동
1746,(자막) 드래곤 퀘스트 : 다이의 대모험 part 5,전사,"마법, 판타지, 액션"
1747,레인보우,히어로,"감동, 개그, 로맨스, 섬"
1748,지오메카 비스트가디언,"로봇, 동물, 발랄가볍","액션, 아동, SF"
1749,지오메카 캡틴다이노,"로봇, 동물, 발랄가볍","액션, 아동, SF"
1750,빰바라빤쮸 동요,발랄가볍,"아동, 일상, 개그"
1751,마샤의 이야기 - 영어,nan,"감동, 아동"
1752,선물공룡 디보 - 영어,"공룡, 발랄가볍","우정, 아동, 마을"
1753,출동! 케이캅 극장판 : 제5원소의 비밀,"히어로, 외계인, 경찰","판타지, 액션, 아동, 개그"
1754,Deep Insanity THE LOST CHILD,nan,"액션, SF"
1755,앵그리버드 툰즈 시즌 1,발랄가볍,"액션, 아동, 개그, 상상의 장소"
1756,합체팽이 인피니티 나도,발랄가볍,"판타지, 액션, 아동, 스포츠, 상상의 장소"
